감독,제작사,영화형태,국적,전국 스크린수,장르,등급,영화구분,개봉월
14.306189806853956,12.886638298776377,장편,한국,1587,사극,15세이상관람가,일반영화,07
15.172541797660623,16.604522736389868,장편,한국,1978,코미디,15세이상관람가,일반영화,01
15.714698467503524,16.402393481720946,장편,한국,1912,판타지,12세이상관람가,일반영화,12
15.908341865826443,15.263749532761022,장편,한국,966,드라마,12세이상관람가,일반영화,12
14.740589351446468,15.240149906896237,장편,미국,2835,액션,12세이상관람가,일반영화,04
16.29183239753596,13.774938706163994,장편,미국,2648,애니메이션,전체관람가,일반영화,11
16.311261936886225,14.097993858249325,장편,미국,912,SF,12세이상관람가,독립/예술영화,12
15.196866081094768,15.715214899407409,장편,한국,1064,액션,15세이상관람가,일반영화,08
15.653223736507236,15.661019977965077,장편,한국,1072,액션,15세이상관람가,일반영화,07
14.172709445204616,16.36583089269726,장편,한국,787,코미디,15세이상관람가,일반영화,01
15.653223736507236,15.661019977965077,장편,한국,1519,액션,15세이상관람가,일반영화,07
13.744609112452949,14.837770152960598,장편,한국,2498,범죄,15세이상관람가,일반영화,05
14.604661848743559,16.3266974212258,장편,한국,810,사극,15세이상관람가,일반영화,09
15.714698467503524,16.402393481720946,장편,한국,2235,판타지,12세이상관람가,일반영화,08
15.202425485646078,14.316364530356296,장편,한국,1906,드라마,15세이상관람가,일반영화,08
12.573835095430939,13.386468910369798,장편,한국,1788,액션,15세이상관람가,일반영화,07
15.908341865826443,15.128432375964616,장편,한국,753,액션,12세이상관람가,일반영화,07
13.942157556011079,14.7989591555699,장편,한국,923,드라마,15세이상관람가,일반영화,12
14.740589351446468,15.240149906896237,장편,미국,2553,액션,12세이상관람가,일반영화,04
16.311261936886225,15.339087282275909,장편,미국,2809,액션,12세이상관람가,일반영화,12
16.166361868367808,15.240149906896237,장편,미국,1843,액션,12세이상관람가,일반영화,04
14.937921230404939,14.737144331930635,장편,한국,1948,드라마,15세이상관람가,일반영화,05
16.29183239753596,13.774938706163994,장편,미국,1010,애니메이션,전체관람가,일반영화,01
15.42859091614362,13.464043830879294,장편,미국,1342,SF,12세이상관람가,일반영화,11
14.50917552743142,15.4222413521652,장편,한국,1812,범죄,15세이상관람가,일반영화,02
16.058987903106654,15.715214899407409,장편,한국,1660,코미디,12세이상관람가,일반영화,07
15.347933810360999,16.02757853604424,장편,한국,1190,사극,15세이상관람가,일반영화,09
